subject,session,task,n_trials,n_sm_channels,b00,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23
sub-024,ses-02,activemotor,19,9,-0.867499,-1.17802,-0.982686,-1.26694,-0.865415,-1.04119,-0.908938,-1.21725,-0.733528,-1.10023,-0.715504,-1.09491,-1.01495,-1.11057,-0.921258,-1.22653,-0.851726,-1.1719,-0.961289,-0.997497,-0.946132,-1.15364,-1.10624,-1.31082
sub-024,ses-02,motorimagery,19,9,-0.811453,-1.19194,-0.917883,-1.18504,-0.908615,-1.11514,-1.10419,-1.14428,-1.02186,-1.18566,-0.959008,-1.23906,-1.06039,-1.17967,-1.0273,-1.31861,-0.986594,-1.48227,-1.06887,-1.34807,-1.0806,-1.40354,-1.0395,-1.24685
sub-024,ses-03,motorimagery,19,9,-0.997391,-1.14569,-0.906305,-1.35765,-1.0488,-1.19466,-0.884656,-1.10899,-0.902366,-1.13442,-1.00935,-1.24272,-0.788423,-0.855887,-0.91584,-1.04138,-1.06881,-1.23639,-1.02286,-1.07943,-1.00249,-1.09158,-1.09035,-1.25625
sub-024,ses-03,passivemotor,19,9,-0.921938,-1.1493,-0.83135,-1.28437,-0.89628,-1.05292,-1.01572,-1.2763,-1.03792,-1.17553,-1.05543,-1.15731,-0.833122,-0.986697,-0.742457,-0.80906,-0.926469,-1.08977,-1.09634,-0.744888,-0.843449,-1.20815,-0.935761,-1.13323
sub-025,ses-01,activemotor,19,9,-0.719033,-1.14538,-0.769967,-1.12265,-0.595734,-0.898732,-0.760474,-0.949482,-0.78408,-1.12712,-0.701458,-1.11745,-0.863279,-1.09516,-0.939412,-0.942035,-0.816227,-0.976629,-0.680211,-1.15674,-0.897725,-0.973108,-0.835592,-1.08376
sub-025,ses-01,motorimagery,19,9,-0.775213,-1.00825,-0.848414,-0.931654,-0.736955,-0.799259,-0.81155,-0.979794,-0.670813,-0.963134,-0.759818,-1.04574,-0.582236,-1.00759,-0.952099,-0.922933,-0.770853,-0.925277,-0.764791,-0.947599,-0.655741,-1.20568,-0.731112,-0.918361
sub-025,ses-01,passivemotor,19,9,-0.558082,-0.973667,-0.848569,-1.11654,-0.825801,-1.12253,-0.627228,-0.966755,-0.718554,-0.958715,-0.664297,-1.02825,-0.538691,-0.913368,-0.711782,-0.965942,-0.795241,-0.94344,-0.810581,-0.942558,-0.721301,-1.08892,-0.783693,-0.961053
sub-025,ses-02,activemotor,19,9,-0.912213,-1.19927,-0.828735,-1.12707,-0.869955,-1.10785,-0.810347,-0.928162,-0.917008,-1.25941,-0.697459,-1.07836,-0.718805,-1.16627,-0.683523,-1.24532,-0.90465,-1.06722,-0.78519,-1.15256,-0.889477,-1.1556,-0.95437,-1.08127
sub-025,ses-02,motorimagery,19,9,-0.837186,-0.92642,-1.06393,-1.0565,-0.853504,-0.859634,-0.759986,-0.881647,-0.730288,-0.979503,-0.612057,-0.781067,-0.808353,-0.961571,-0.806996,-1.0835,-0.983523,-1.20132,-0.841243,-1.04115,-0.887494,-0.979775,-1.10747,-1.03555
sub-025,ses-02,passivemotor,19,9,-0.664602,-1.06862,-0.752137,-0.949053,-0.882914,-1.14888,-0.952932,-1.08284,-0.821743,-1.05683,-0.927487,-0.90249,-0.708659,-0.973497,-0.779478,-1.02926,-0.781319,-0.886209,-0.740992,-1.0332,-0.892843,-0.883635,-0.684328,-1.02427
sub-025,ses-03,activemotor,19,9,-0.736639,-1.13383,-0.770967,-1.1893,-0.870624,-0.888514,-0.819004,-0.921305,-0.618418,-1.09535,-0.74107,-0.899096,-0.638048,-0.787467,-0.668029,-0.880277,-0.74997,-0.833986,-0.69787,-0.86514,-0.609839,-1.07027,-0.667732,-0.796528
