subject,stage,epoch_index,t_start_s,alpha_peak_hz,alpha_peak_hz_wide,critical_slowing_ar1,emg_beta_gamma_fraction,emg_index,emg_kurtosis,exponent_gamma,exponent_high,exponent_low,icoh_alpha,lempel_ziv,lrtc_alpha,multiscale_entropy_slope,pac_slow_alpha,relative_alpha_power,relative_alpha_power_iaf,relative_delta_power,relative_theta_power,spatial_participation_ratio,spectral_edge_95,spectral_entropy,uce_v1,whole_head_exponent,wpli_alpha
sub-101,W,0,0,8.0,,0.48080902980104323,0.20151737278895845,-0.030706003162098053,-0.35672209916167485,1.5761976363071184,-0.836075343695129,1.786797611268642,0.13749856804042834,0.314475859649337,,-0.005106621541421223,0.003280625193285347,0.03587571239413367,,0.6179948167847923,0.1038020097205426,0.4092480803473339,39.02598471806409,0.742896465191581,,0.0408767767714794,0.10816641547540858
sub-101,W,11,330,12.0,,0.5534475140149743,0.17296813419096954,-0.04685981983409425,-0.3636756136777368,2.223115436775689,0.02146183673278612,0.8308597944420706,0.046348537680845604,0.4373871991601694,,-0.021764801360440927,0.004010184562538059,0.037169842528588064,,0.20728991886863762,0.02794204109038126,0.5520661146548625,36.07383467672999,0.70180802359344,,-0.2386559655292099,0.008135449826352857
sub-101,W,23,690,11.25,11.25,0.36152795102845575,0.25534481714626356,0.1863730558082093,0.1330177505751906,1.9084019832320145,-0.032152437772909596,1.2491688151933762,0.018774780687458466,0.3122612409194121,,-0.0006241344814648693,0.002252638978646587,0.07352748215090137,0.060991769171852506,0.48616441494119006,0.09627942559375478,0.4233492076317446,39.25509662889243,0.8142175721886691,,0.46442915701803617,-0.004829105386900561
sub-101,W,34,1020,11.75,11.75,0.2902159751889402,0.3983825897064486,0.029773514520732514,-0.512483038267721,1.4395968400678687,0.4528339397172188,1.1992752561921212,0.031836547140294096,0.2458226790216648,,0.001730673454812693,0.0035188901796382108,0.06075923757286,0.04373527485228756,0.38352548629000555,0.08488333726019386,0.47634663436378816,42.10439098318578,0.8447621487516108,,0.32707389874161147,-0.00019227161330369317
sub-101,W,45,1350,8.25,,0.8135757042843856,0.03832720681868925,-0.06031163326881454,-0.188990622217732,0.8513743174460607,0.27296522953359575,2.303697944966027,0.0014323045772589675,0.2624323194961017,,-0.005326829586497322,0.004636693208124866,0.019362492305051507,,0.8451014326139688,0.1002953831139053,0.3534506837122194,8.627367632734114,0.577216987893991,,1.5343653495764027,-0.008143427596535633
sub-101,W,56,1680,8.0,6.5,0.8233158140879008,0.026715366026273207,-0.21960122099624338,-0.8723709852417727,0.7723897460002597,0.7139978319110775,2.4484893464613138,0.030001413599030174,0.2314276572771529,,0.02459243522169131,0.0037497430360065097,0.017451730990688107,0.08245031361892545,0.8479694176538164,0.10823539353140557,0.3807981426702858,7.3875463640862655,0.5622334432385281,,1.776120451855907,0.00021588874128631295
sub-101,W,68,2040,10.75,10.75,0.2777613361146384,0.35898400620611154,0.233037079487602,0.11993389153585943,1.6985592431069918,0.18454316091098869,1.1940931163246897,0.10644327731544341,0.3488024499631731,,0.01705800327550128,0.0025650541143233427,0.06371723514543562,0.05181899572628366,0.41116433116176704,0.08980235876809949,0.4065787425873871,41.078341714216236,0.8122909099932301,,0.23940786128815514,0.06857109065287581
sub-101,W,320,9600,9.75,12.0,0.8373080626907035,0.006718195406268068,-0.03987497357584506,-0.09465257489768941,1.2176928296762553,2.0745924262037954,2.408181464744184,0.049292325404447536,0.16166716728451833,,0.08048706336751184,0.005162538911694217,0.04722150097339049,0.030191569534359437,0.8779752053014527,0.05991900356305161,0.6461599425551154,9.394727030576783,0.41702083099353726,,2.4142997950108125,0.009804536180185255
sub-101,W,559,16770,12.25,12.25,0.6756496935933659,0.04349620410892039,-0.16795672740880413,-0.6113689398875297,1.293653348476741,1.7285304742226273,1.7443554285158032,0.1215696037500154,0.22699841981730307,,0.11859570696263715,0.0038228331098330236,0.1461769357807428,0.104583035076125,0.6603267282495874,0.11866059116518216,0.534618359465786,17.249684113744955,0.6627421393781725,,1.8087254022683845,0.10574748515145431
sub-101,W,760,22800,11.75,12.0,0.6689642698929822,0.05044523355414595,-0.09958319956931673,-0.33264325990088883,0.9755679046878275,1.6171770297282098,1.5323164697532345,0.03879049707565693,0.13066250506556956,,0.03401878601223187,0.007633245815382769,0.21185296045020036,0.18692998125387064,0.5486945468486839,0.14585224613114647,0.42116811359720846,19.262491596596718,0.7144342958938409,,1.748627008161769,-0.017764035829162323
sub-101,W,986,29580,9.0,6.0,0.7707903871125138,0.00907002693185553,-0.19456427914841107,-0.6616777153639437,0.7114478719711942,1.244225372478209,2.875347405513713,0.06606802207478679,0.15613062045970605,,0.021712260069717326,0.005434461459083467,0.015585595591235136,0.07415605734600442,0.8973850231913048,0.07415605734600442,0.34430628678800973,5.908505616006831,0.4936448498972226,,2.0692869035352057,0.02512554537317337
sub-101,W,997,29910,8.0,,0.7880375072809613,0.01901193850414411,-0.0615674883926856,-0.16570076837514458,1.1387050633201259,-0.6547229202289273,2.591270752218577,0.0016966545022663413,0.08083358364225916,,0.007882888883088449,0.010546837121425715,0.009552538488955853,,0.9366332186120847,0.030357444256933094,0.34736755716806766,4.9694310562760124,0.39196294337016474,,1.7994800492472904,-0.023279432089717184
sub-101,REM,209,6270,12.0,12.0,0.707889509595887,0.015823871658562184,-0.17994000542158772,-0.6018039708580813,1.2207785801305224,1.7793748073013649,2.1648234986217543,0.06896778555984741,0.20374492315309156,,0.0912309915007845,0.0031291453692189903,0.05318177958737176,0.041858026222594186,0.8279892958251027,0.08431827430924872,0.5264011698116734,11.632883575251197,0.562246976385847,,2.048317650489258,0.008779515976151299
