recording_id,subject,task,run,status,error,sfreq,n_channels,block_start_s,block_s,n_pulses,iti_median,iti_iqr,det_separation,blank_frac,spont_exponent,n_spont_seg,real_evoked_rms,real_baseline_rms,real_response_duration_ms,real_n_channels_responding,real_evoked_lz,sham_evoked_rms,sham_baseline_rms,sham_response_duration_ms,sham_n_channels_responding,sham_evoked_lz
ds005620/sub-1016/eeg/sub-1016_task-awake_acq-tms,1016,awake,,ok,,5000.0,64,119.879,90.0,46,1.9544,0.2504000000000002,1803.857142857143,0.035,1.7935391274227404,19,3.580139377838236,0.9215236967855694,500.0,61,0.480160773424104,2.030654218205943,1.0550026443131992,500.0,17,0.6030819314206747
ds005620/sub-1016/eeg/sub-1016_task-sed_acq-tms_run-1,1016,sed,1,ok,,5000.0,64,230.399,90.0,46,1.899,0.29800000000000004,1887.68,0.035,2.4019321956991164,15,11.843108566748679,1.8542834184521693,500.0,61,0.17669916462007026,4.140230059253741,1.910573220083832,500.0,33,0.26504874693010544
ds005620/sub-1016/eeg/sub-1016_task-sed_acq-tms_run-2,1016,sed,2,ok,,5000.0,64,63.486,90.0,45,1.9763,0.3221999999999998,4204.0,0.035,2.435168797997896,21,4.670197231063839,1.944778144367484,500.0,42,0.49552591817367536,6.554617786293934,2.793342799184762,500.0,52,0.34187447067796206
ds005620/sub-1016/eeg/sub-1016_task-sed_acq-tms_run-3,1016,sed,3,ok,,5000.0,64,90.449,90.0,45,1.9539,0.2868499999999998,2654.705882352941,0.035,2.2791083251739246,21,4.773831548952136,3.208615889915892,500.0,32,0.3994937634888545,8.77218223765703,4.153925429463761,500.0,42,0.28425517786706955
ds005620/sub-1024/eeg/sub-1024_task-awake_acq-tms,1024,awake,,ok,,5000.0,64,11.896,90.0,44,2.0876,0.3120000000000003,4011.0820066539395,0.035,1.4940864970613832,23,6.82441542664495,1.1600775397874035,500.0,64,0.5185736352980324,3.4629823284680197,1.5915714240720105,500.0,21,0.480160773424104
ds005620/sub-1017/eeg/sub-1017_task-awake_acq-tms,1017,awake,,ok,,5000.0,64,9.763,90.0,44,2.0786,0.3123,3498.8636363636365,0.035,1.5933323395217402,23,4.7383778638445095,1.25688018187181,500.0,61,0.4532717701123542,3.0479319004692935,1.5987179789220172,500.0,16,0.6376535071072101
ds005620/sub-1024/eeg/sub-1024_task-sed_acq-tms_run-1,1024,sed,1,ok,,5000.0,64,59.073,90.0,46,1.994,0.2712000000000001,3951.6,0.035,1.9891578759100186,21,6.42556950389293,3.4926756848613087,500.0,20,0.48400205961149684,5.356871172806161,2.002271410874894,500.0,35,0.5416213524223893
ds005620/sub-1024/eeg/sub-1024_task-sed_acq-tms_run-2,1024,sed,2,ok,,5000.0,64,17.162,90.0,45,1.9655,0.28080000000000016,4872.333333333333,0.035,1.804525972762133,20,4.841525453993234,2.5542098658259627,500.0,23,0.5416213524223893,4.049080444720714,2.828359743966256,500.0,6,0.503208490548461
ds005620/sub-1036/eeg/sub-1036_task-awake_acq-tms,1036,awake,,ok,,5000.0,64,37.757,90.0,45,1.9526,0.3132500000000005,653.0508474576271,0.035,2.0473420848530166,19,6.168884703675147,2.234343086820358,500.0,40,0.6491773656693887,3.195597753949131,1.7031081649645015,500.0,34,0.49552591817367536
ds005620/sub-1024/eeg/sub-1024_task-sed_acq-tms_run-3,1024,sed,3,ok,,5000.0,64,8.371,90.0,41,1.9474,0.2174999999999998,5047.0,0.035,1.667065899438677,16,4.271222256381179,2.2570855216084094,500.0,17,0.6760663689811385,3.4104446276148104,2.6841199919939256,500.0,12,0.3802873325518904
ds005620/sub-1045/eeg/sub-1045_task-awake_acq-tms,1045,awake,,ok,,5000.0,64,49.622,90.0,45,2.0159000000000002,0.29810000000000003,1684.5652173913043,0.035,1.629518926767825,23,6.348573316851145,1.5496694675290044,500.0,64,0.28041389167967673,2.9359766012692314,1.5822770821070948,500.0,25,0.5377800662349965
ds005620/sub-1036/eeg/sub-1036_task-sed_acq-tms_run-1,1036,sed,1,ok,,5000.0,64,2.649,90.0,44,2.076,0.2134999999999998,1986.456504755435,0.035,2.6001368788032404,31,11.976783760897455,3.904480909265169,500.0,27,0.572351641921532,14.674918268282841,7.850305547195517,500.0,4,0.3265093259283907
ds005620/sub-1045/eeg/sub-1045_task-sed_acq-tms_run-2,1045,sed,2,ok,,5000.0,64,13.455,90.0,45,1.994,0.2605000000000002,2778.8571428571427,0.035,2.1777142436903087,20,8.576697481713508,2.9945141072995476,500.0,47,0.5108910629232467,10.808724869892853,2.408198352249539,500.0,63,0.13444501655874913
