recording_id,dataset,subject,status,error,n_channels,sfreq,n_samples,meta_task,meta_acq,meta_run,critical_slowing_ar1,emg_beta_gamma_fraction,emg_index,emg_kurtosis,exponent_gamma,exponent_high,exponent_low,lempel_ziv,multiscale_entropy_slope,pac_slow_alpha,relative_alpha_power,relative_delta_power,spatial_participation_ratio,spectral_edge_95,spectral_entropy,uce_v1,whole_head_exponent,wpli_alpha
ds005620/sub-1060/eeg/sub-1060_task-sed_acq-tms_run-2_eeg.vhdr,ds005620,sub-1060,ok,,64,5000,600000,sed,tms,2,0.4487950333,0.4060349855,0.7027075597,1612.251451,0.1591562819,0.1205236659,0.4656304167,0.499015886,0.105200014,,0.1176226699,0.200806164,0.02629823582,42.19156704,0.9576975161,0.3591701906,0.2687393826,0.05436055431
ds005620/sub-1060/eeg/sub-1060_task-sed_acq-tms_run-3_eeg.vhdr,ds005620,sub-1060,ok,,64,5000,600000,sed,tms,3,0.4516000601,0.4195444896,0.7095871558,2700.403517,0.1326787789,0.132444837,0.3446802142,0.5482089696,0.1492451718,,0.1258957898,0.1011820646,0.04237866495,42.55644531,0.9957454197,0.3397589419,0.2629910038,0.07843293249
ds005620/sub-1061/eeg/sub-1061_task-awake_acq-tms_eeg.vhdr,ds005620,sub-1061,ok,,64,5000,600000,awake,tms,,0.4630266511,0.4904178747,0.7449977187,2366.215131,0.03863343015,-0.004701963213,0.3128862106,0.4284378903,0.1440778065,,0.1169358405,0.08418410122,0.04104661599,42.68086355,0.9984262541,0.1610217503,0.1223283943,0.05341520302
ds005620/sub-1061/eeg/sub-1061_task-sed_acq-tms_run-1_eeg.vhdr,ds005620,sub-1061,ok,,64,5000,600000,sed,tms,1,0.4617319199,0.3551115829,0.6772637548,1711.113857,0.0107042165,0.2303165546,0.654967339,0.4186018688,0.08884281571,,0.1532417778,0.1850278496,0.03436869671,42.10560563,0.9626537475,0.3944053128,0.3298715532,0.2099151683
ds005620/sub-1062/eeg/sub-1062_task-awake_acq-tms_eeg.vhdr,ds005620,sub-1062,ok,,64,5000,600000,awake,tms,,0.4859306904,0.4923222137,0.7459055361,1955.405154,-0.00408276034,-0.03677070928,0.4657544224,0.3513458012,0.1675153204,,0.1048293253,0.1408854672,0.03796313612,42.52916018,0.9869359049,0.1451527199,0.06609108404,0.137187795
ds005620/sub-1062/eeg/sub-1062_task-sed_acq-tms_run-1_eeg.vhdr,ds005620,sub-1062,ok,,64,5000,600000,sed,tms,1,0.4448391504,0.4860780128,0.7428451959,2578.839479,0.04918231839,0.08344766263,0.2327570449,0.5238135602,0.2075278232,,0.1307208488,0.09314967636,0.03074165034,42.55691589,0.9964908075,0.2189090062,0.1229826197,0.07662092305
ds005620/sub-1062/eeg/sub-1062_task-sed_acq-tms_run-2_eeg.vhdr,ds005620,sub-1062,ok,,64,5000,600000,sed,tms,2,0.4797758395,0.4817173249,0.7404279191,1159.783898,0.07278359481,0.0200114475,0.3336897085,0.4497319684,0.198082674,,0.09798488741,0.251512544,0.04894309871,41.9877196,0.941557374,0.1530046016,0.1234743699,0.1144432071
ds005620/sub-1062/eeg/sub-1062_task-sed_acq-tms_run-3_eeg.vhdr,ds005620,sub-1062,ok,,64,5000,600000,sed,tms,3,0.4480231233,0.4952131763,0.7473929505,2339.410873,0.06218743796,0.01419916819,0.3008614285,0.4183682957,0.1666368091,,0.1264959168,0.1046254514,0.03427803617,42.43164786,0.9952639496,0.1412287,0.1189759482,0.1708077824
ds005620/sub-1064/eeg/sub-1064_task-awake_acq-tms_eeg.vhdr,ds005620,sub-1064,ok,,64,5000,600000,awake,tms,,0.5314331572,0.3226691221,0.6611133006,2258.780364,0.04775994554,0.1945342795,1.243800761,0.4484083877,0.02842348769,,0.09900767941,0.1854750105,0.0341868409,42.40916192,0.9773183017,0.175234295,0.2265277082,0.03260093208
ds005620/sub-1064/eeg/sub-1064_task-sed_acq-tms_run-1_eeg.vhdr,ds005620,sub-1064,ok,,64,5000,600000,sed,tms,1,0.4470879414,0.3974282342,0.6982034166,978.0473622,0.1465764536,0.944869524,0.1583136111,0.5885392529,0.1882575929,,0.1173568527,0.08602041311,0.05416404666,42.6475056,0.998005076,0.4053932272,0.3572012225,0.04231333451
ds005620/sub-1064/eeg/sub-1064_task-sed_acq-tms_run-2_eeg.vhdr,ds005620,sub-1064,ok,,64,5000,600000,sed,tms,2,0.478320501,0.3117703952,0.6555201953,1368.854428,0.1385067108,0.9133626543,0.5176585593,0.5865409055,0.2161202911,,0.1497722667,0.1465537218,0.04256294944,42.24801433,0.9815467619,0.8293252973,0.6618392832,0.1824538159
ds005620/sub-1064/eeg/sub-1064_task-sed_acq-tms_run-3_eeg.vhdr,ds005620,sub-1064,ok,,64,5000,600000,sed,tms,3,0.4871016705,0.3134221214,0.6563348022,1327.873723,0.1735765089,0.9429278689,0.6401928392,0.5117196657,0.1524042736,,0.1305887062,0.1899295902,0.06057777506,42.12872382,0.9652646859,0.8829722704,0.7177467775,0.1464036449
ds005620/sub-1067/eeg/sub-1067_task-awake_acq-tms_eeg.vhdr,ds005620,sub-1067,ok,,64,5000,600000,awake,tms,,0.5371918651,0.3595955024,0.6794725449,1536.485737,0.07099805682,0.01841300852,0.9348838603,0.3782975381,0.01404445541,,0.09573203725,0.2400365561,0.0456529666,42.1458271,0.9443567167,0.1830300407,0.1032518472,0.2170021415
ds005620/sub-1067/eeg/sub-1067_task-sed_acq-tms_run-1_eeg.vhdr,ds005620,sub-1067,ok,,64,5000,600000,sed,tms,1,0.4532672974,0.5109846582,0.7552593481,2145.09791,0.02069581375,0.06693675145,0.1668181889,0.5389958097,0.1565445037,,0.1158163529,0.09611734133,0.03800403999,42.62362536,0.9965802468,0.1202989143,0.0768376382,0.03831652422
ds005620/sub-1067/eeg/sub-1067_task-sed_acq-tms_run-2_eeg.vhdr,ds005620,sub-1067,ok,,64,5000,600000,sed,tms,2,0.4581163444,0.4462654429,0.7228941897,2095.156901,0.1636526274,0.2239179788,0.3088901202,0.538411877,0.1159240103,,0.1219144054,0.1090539267,0.04068568754,42.44334617,0.9939937057,0.4098942194,0.2511681796,0.08726042837
