subject,status,error,csp_auc,perm_p,perm_null_mean,n_trials,n_left,n_right,n_channels,n_perm
S001,ok,,0.666008,0.054726,0.496833,45,23,22,64,200
S002,ok,,0.966403,0.004975,0.498330,45,23,22,64,200
S004,ok,,0.758893,0.009950,0.491038,0.605731,0.144279,0.500553,45,23,22,64,3,200
S006,ok,,0.369048,0.900498,0.484831,0.559524,0.238806,0.496741,45,24,21,64,3,200
S005,ok,,0.628968,0.079602,0.478125,0.664683,0.059701,0.497922,45,21,24,64,3,200
S003,ok,,0.628458,0.079602,0.487950,0.467391,0.661692,0.496561,45,23,22,64,3,200
S008,ok,,0.652174,0.069652,0.493123,0.507905,0.512438,0.495899,45,22,23,64,3,200
S009,ok,,0.293651,0.970149,0.493353,0.367063,0.945274,0.498274,45,24,21,64,3,200
S010,ok,,0.686508,0.029851,0.506533,0.748016,0.004975,0.492252,45,24,21,64,3,200
S007,ok,,0.984190,0.004975,0.499081,1.000000,0.004975,0.492248,45,23,22,64,3,200
S012,ok,,0.541667,0.288557,0.486305,0.668651,0.039801,0.477827,45,21,24,64,3,200
S013,ok,,0.707510,0.029851,0.509293,0.596838,0.129353,0.491374,45,23,22,64,3,200
S011,ok,,0.488142,0.552239,0.492021,0.611660,0.089552,0.495099,45,23,22,64,3,200
S014,ok,,0.542490,0.348259,0.496250,0.537549,0.313433,0.489545,45,22,23,64,3,200
S016,ok,,0.468379,0.572139,0.488513,0.739130,0.004975,0.493720,45,22,23,64,3,200
S017,ok,,0.416008,0.721393,0.489699,0.495059,0.482587,0.495751,45,23,22,64,3,200
S015,ok,,0.657115,0.064677,0.495227,0.723320,0.024876,0.510242,45,23,22,64,3,200
S018,ok,,0.424901,0.666667,0.481448,0.428854,0.820896,0.502821,45,22,23,64,3,200
S020,ok,,0.359684,0.830846,0.475484,0.486166,0.497512,0.487614,45,23,22,64,3,200
S021,ok,,0.545635,0.303483,0.487822,0.433532,0.800995,0.500308,45,24,21,64,3,200
S022,ok,,0.701581,0.009950,0.486260,0.745059,0.009950,0.482372,45,22,23,64,3,200
S019,ok,,0.646245,0.084577,0.498785,0.472332,0.592040,0.494674,45,23,22,64,3,200
S024,ok,,0.721344,0.034826,0.490232,0.587945,0.208955,0.506566,45,22,23,64,3,200
S025,ok,,0.677866,0.064677,0.490030,0.719368,0.019900,0.496072,45,22,23,64,3,200
S026,ok,,0.802579,0.004975,0.488745,0.613095,0.094527,0.493909,45,24,21,64,3,200
S023,ok,,0.476285,0.587065,0.496354,0.600791,0.189055,0.492297,45,22,23,64,3,200
S028,ok,,0.461462,0.552239,0.472490,0.529644,0.373134,0.491764,45,22,23,64,3,200
S029,ok,,0.998024,0.004975,0.503641,0.883399,0.004975,0.507451,45,23,22,64,3,200
S030,ok,,0.490079,0.502488,0.484142,0.524802,0.398010,0.494886,45,24,21,64,3,200
S027,ok,,0.553360,0.263682,0.490435,0.462451,0.616915,0.492174,45,23,22,64,3,200
S032,ok,,0.886905,0.004975,0.493537,0.757937,0.004975,0.486448,45,21,24,64,3,200
S033,ok,,0.719368,0.029851,0.497554,0.794466,0.004975,0.486052,45,23,22,64,3,200
S037,error,RemoteDisconnected: Remote end closed connection without response,,,,,,,,,,,,200
S034,ok,,0.980159,0.004975,0.482455,0.964286,0.004975,0.486905,45,21,24,64,3,200
S031,ok,,0.954545,0.004975,0.479792,0.956522,0.004975,0.491260,45,22,23,64,3,200
S036,ok,,0.407115,0.800995,0.488923,0.478261,0.572139,0.498009,45,23,22,64,3,200
S041,ok,,0.575397,0.184080,0.487396,0.498016,0.542289,0.500794,45,24,21,64,3,200
S038,ok,,0.603755,0.159204,0.497712,0.619565,0.074627,0.499817,45,23,22,64,3,200
S035,ok,,0.879447,0.004975,0.491596,0.845850,0.004975,0.490217,45,22,23,64,3,200
S040,ok,,0.371032,0.855721,0.503800,0.396825,0.830846,0.490243,45,21,24,64,3,200
S044,error,URLError: <urlopen error [Errno 104] Connection reset by peer>,,,,,,,,,,,,200
S042,ok,,0.982213,0.004975,0.503024,0.964427,0.004975,0.497846,45,22,23,64,3,200
S039,ok,,0.433794,0.716418,0.497841,0.614625,0.119403,0.503701,45,23,22,64,3,200
S045,ok,,0.537549,0.298507,0.487915,0.713439,0.014925,0.490697,45,23,22,64,3,200
S048,ok,,0.844862,0.004975,0.498607,0.915020,0.004975,0.506013,45,22,23,64,3,200
S046,ok,,0.608696,0.124378,0.480697,0.494071,0.447761,0.487940,45,23,22,64,3,200
S043,ok,,0.863636,0.004975,0.493325,0.865613,0.004975,0.495193,45,23,22,64,3,200
S049,ok,,0.855731,0.009950,0.510949,0.745059,0.009950,0.500114,45,23,22,64,3,200
S052,ok,,0.813492,0.004975,0.489762,0.865079,0.004975,0.492688,45,24,21,64,3,200
S047,ok,,0.492063,0.537313,0.499559,0.591270,0.164179,0.491716,45,24,21,64,3,200
S053,ok,,0.909091,0.004975,0.478152,0.873518,0.004975,0.481922,45,22,23,64,3,200
S056,ok,,1.000000,0.004975,0.493355,0.978261,0.004975,0.482796,45,22,23,64,3,200
S050,ok,,0.586957,0.189055,0.488987,0.555336,0.258706,0.489990,45,23,22,64,3,200
S051,error,URLError: <urlopen error [Errno 104] Connection reset by peer>,,,,,,,,,,,,200
S057,ok,,0.421627,0.756219,0.500491,0.531746,0.383085,0.500511,45,24,21,64,3,200
S054,ok,,0.942688,0.004975,0.474896,0.863636,0.004975,0.485084,45,23,22,64,3,200
S060,ok,,0.891304,0.004975,0.485904,0.893281,0.004975,0.483745,45,23,22,64,3,200
